customer_id,first_name,last_name,age,gender,marital_status,number_of_dependents,education_level,province,employment_status,monthly_income,income_band,monthly_expenses,account_tenure_years,monthly_transactions,avg_transaction_value,digital_login_frequency,branch_visit_count,late_payment_count,preferred_channel,has_savings_account,has_credit_card,has_home_loan,has_personal_loan,has_vehicle_finance,has_investment_account,active_products_count,credit_score,loan_utilisation_rate,days_since_last_default,churn_risk_label
CUST-00015,Arjun,February,65,Male,Married,2,Degree,Western Cape,Employed,52600.0,Affluent,29500.0,4.7,48,763.65,13,4,2,Digital-Preferred,1,1,1,0,1,1,5,706,0.388,9999,Low
CUST-00016,Ayanda,Pretorius,26,Female,Married,2,Matric,North West,Employed,9600.0,LSM 5-6,6200.0,6.1,21,597.42,29,2,1,Digital-Preferred,0,0,0,0,0,0,0,598,0.0,475,High
CUST-00017,Nhlanhla,Khumalo,34,Male,Divorced,1,Matric,Free State,Employed,10300.0,LSM 5-6,5800.0,5.9,11,372.87,17,6,0,Digital-Preferred,1,1,0,0,0,0,2,626,0.375,9999,Low
CUST-00018,Arjun,Botha,43,Male,Married,1,Matric,Gauteng,Employed,6200.0,LSM 1-4,3700.0,1.3,6,50.0,20,3,2,Digital-Preferred,1,1,0,0,0,0,2,546,0.411,923,Medium
CUST-00019,Thabo,Cele,55,Male,Married,2,Matric,KwaZulu-Natal,Unemployed,706.23,LSM 1-4,700.0,5.8,5,50.0,5,4,0,Branch-Preferred,0,0,0,0,0,0,0,670,0.0,9999,Medium
CUST-00020,Fatima,Maharaj,31,Female,Single,0,Degree,Western Cape,Employed,26400.0,LSM 7-8,18900.0,7.3,30,485.05,17,5,5,Digital-Preferred,1,1,1,1,0,0,4,519,0.655,87,Low
CUST-00021,Kagiso,Joubert,50,Male,Married,2,No Matric,Western Cape,Unemployed,1374.77,LSM 1-4,1400.0,5.7,9,267.79,9,2,3,Passive,1,0,0,0,0,0,1,574,0.0,9999,High
CUST-00022,Shenay,Maharaj,27,Female,Single,0,Diploma,Mpumalanga,Employed,22800.0,LSM 7-8,15300.0,5.9,27,453.38,20,2,5,Digital-Preferred,1,1,0,0,1,0,3,489,0.704,1881,Low
CUST-00023,Musa,Williams,39,Male,Married,3,Postgraduate,Gauteng,Employed,68800.0,Affluent,47000.0,7.6,48,979.79,21,3,5,Digital-Preferred,1,0,1,0,1,1,4,515,0.535,1102,Low
CUST-00024,Sipho,Maharaj,49,Male,Single,0,Diploma,Eastern Cape,Self-Employed,22800.0,LSM 7-8,14500.0,8.3,25,459.13,20,6,2,Digital-Preferred,1,1,0,0,1,0,3,665,0.318,398,Low
CUST-00025,Zara,Mokoena,29,Female,Married,1,Diploma,North West,Employed,17400.0,LSM 5-6,10600.0,4.1,33,295.5,19,4,3,Digital-Preferred,1,1,0,1,1,0,4,578,0.468,1198,Low
CUST-00026,Lethiwe,Mkhize,29,Male,Single,0,Matric,Northern Cape,Employed,9100.0,LSM 5-6,5600.0,2.4,19,281.49,0,3,1,Passive,1,0,0,0,0,0,1,567,0.0,2264,Medium
CUST-00027,Kyle,Pretorius,55,Male,Married,0,No Matric,Gauteng,Self-Employed,9200.0,LSM 5-6,5900.0,7.6,19,184.05,10,2,0,Passive,0,0,0,0,0,0,0,673,0.0,9999,Medium
CUST-00028,Luca,van der Berg,23,Male,Single,0,Matric,Free State,Unemployed,95.8,LSM 1-4,100.0,6.3,13,171.94,22,2,0,Digital-Preferred,0,0,0,0,0,0,0,613,0.0,126,Medium
CUST-00029,Ayanda,Ngubane,52,Female,Married,1,No Matric,Gauteng,Employed,7900.0,LSM 1-4,4400.0,7.3,11,676.06,5,3,0,Passive,1,0,0,0,1,0,2,668,0.388,9999,Low
CUST-00030,André,Daniels,34,Male,Single,1,Matric,Western Cape,Retired,6323.64,LSM 1-4,4900.0,4.8,27,50.0,17,3,1,Digital-Preferred,1,0,0,0,0,0,1,565,0.0,658,Medium
CUST-00031,Mandla,Brown,63,Male,Married,3,No Matric,Gauteng,Retired,4424.42,LSM 1-4,4600.0,0.5,16,330.96,15,2,3,Digital-Preferred,1,0,0,0,0,0,1,542,0.0,635,Medium
CUST-00032,André,Motsepe,29,Male,Married,2,Matric,Eastern Cape,Unemployed,540.05,LSM 1-4,600.0,9.5,12,50.0,6,3,8,Passive,1,1,0,0,0,0,2,332,0.862,260,High
CUST-00033,Pieter,Reddy,28,Male,Single,0,No Matric,Gauteng,Employed,5900.0,LSM 1-4,3800.0,0.5,19,50.0,19,0,3,Digital-Preferred,0,1,0,0,0,0,1,479,0.472,811,Medium
CUST-00034,Nkosinathi,February,27,Male,Single,0,Postgraduate,Gauteng,Employed,68700.0,Affluent,34100.0,7.3,63,748.58,14,6,0,Digital-Preferred,1,1,1,1,1,0,5,748,0.337,9999,Low
CUST-00035,Kavitha,Dlamini,51,Female,Divorced,2,No Matric,KwaZulu-Natal,Employed,5800.0,LSM 1-4,5700.0,11.7,4,1826.48,5,4,2,Branch-Preferred,1,1,0,0,0,0,2,637,0.547,9999,Medium
CUST-00036,Lethiwe,Motsepe,57,Male,Married,2,Matric,North West,Unemployed,862.76,LSM 1-4,900.0,5.5,11,50.0,13,6,4,Digital-Preferred,1,0,0,0,0,0,1,525,0.0,109,High
CUST-00037,Dylan,Adams,45,Male,Married,1,Degree,Western Cape,Employed,34900.0,LSM 7-8,16000.0,8.2,51,680.38,16,3,0,Digital-Preferred,1,1,0,0,1,1,4,698,0.427,9999,Low
CUST-00038,Kim,Botha,26,Female,Married,4,Matric,Eastern Cape,Employed,7500.0,LSM 1-4,7900.0,6.1,28,152.5,11,4,6,Digital-Preferred,1,1,0,0,0,0,2,383,0.829,142,Medium
CUST-00039,Thandi,Hendricks,27,Female,Married,4,Diploma,Eastern Cape,Employed,13200.0,LSM 5-6,11900.0,6.1,18,614.21,13,4,0,Digital-Preferred,1,1,0,1,0,0,3,656,0.6,9999,Low
CUST-00040,Priya,Botha,35,Male,Married,0,Degree,KwaZulu-Natal,Self-Employed,17400.0,LSM 5-6,9700.0,13.2,27,692.81,9,4,4,Branch-Preferred,1,1,1,1,0,0,4,577,0.447,9999,Low
CUST-00041,Dylan,Mthembu,36,Male,Married,1,Diploma,Gauteng,Unemployed,2362.55,LSM 1-4,1900.0,2.6,9,50.0,5,6,2,Branch-Preferred,1,0,0,0,0,0,1,568,0.0,9999,Medium
CUST-00042,Lungelo,Mthethwa,35,Male,Married,2,Matric,Gauteng,Self-Employed,5400.0,LSM 1-4,4800.0,2.5,16,483.34,2,2,1,Passive,1,0,0,0,0,0,1,574,0.0,9999,Medium
CUST-00043,Zara,Sithole,28,Female,Married,1,Degree,KwaZulu-Natal,Employed,47600.0,Affluent,28500.0,5.0,38,680.34,26,1,2,Digital-Only,1,1,1,0,1,1,5,601,0.403,9999,Low
CUST-00044,Kyle,Smith,42,Male,Divorced,3,Diploma,North West,Self-Employed,27700.0,LSM 7-8,17700.0,12.1,25,563.86,22,3,3,Digital-Preferred,1,1,1,1,0,0,4,625,0.397,9999,Low
CUST-00045,Kagiso,Khumalo,36,Male,Single,0,Matric,Gauteng,Unemployed,1866.3,LSM 1-4,1200.0,3.4,7,69.67,19,3,2,Digital-Preferred,0,0,0,0,0,0,0,513,0.0,129,Medium
CUST-00046,Johan,Khumalo,40,Male,Married,1,No Matric,Eastern Cape,Unemployed,1573.23,LSM 1-4,1700.0,6.4,25,50.0,12,6,8,Digital-Preferred,0,0,0,1,0,0,1,383,0.98,124,Medium
CUST-00047,Kiran,Zulu,37,Male,Married,1,No Matric,Mpumalanga,Self-Employed,3400.0,LSM 1-4,2800.0,8.4,8,602.22,8,3,6,Passive,1,1,0,0,0,0,2,444,0.675,511,High
CUST-00048,Mandla,Joubert,33,Male,Single,0,Degree,North West,Employed,28300.0,LSM 7-8,19500.0,9.2,38,558.42,23,2,0,Digital-Preferred,1,1,1,0,1,0,4,696,0.501,9999,Low
CUST-00049,Lethiwe,February,36,Male,Married,2,Matric,KwaZulu-Natal,Unemployed,1796.14,LSM 1-4,1900.0,8.2,8,207.9,16,2,1,Digital-Preferred,0,0,0,0,0,0,0,661,0.0,1963,High
CUST-00050,Siphokazi,Naidoo,32,Female,Married,3,Matric,North West,Employed,6300.0,LSM 1-4,5700.0,9.7,10,431.41,23,3,3,Digital-Preferred,0,0,0,1,0,0,1,539,0.574,1345,High
CUST-00051,Bongiwe,Daniels,33,Female,Married,0,Diploma,Eastern Cape,Employed,14500.0,LSM 5-6,8100.0,6.9,23,414.53,18,1,0,Digital-Preferred,1,1,0,0,0,0,2,655,0.27,9999,Low
CUST-00052,Fatima,Smith,35,Female,Married,2,Postgraduate,Western Cape,Employed,71100.0,Affluent,32700.0,8.1,47,872.43,31,2,0,Digital-Preferred,1,1,1,1,1,1,6,731,0.324,9999,Low
CUST-00053,Siphokazi,Pillay,23,Female,Single,0,No Matric,Limpopo,Self-Employed,5200.0,LSM 1-4,2600.0,3.9,19,81.93,11,5,1,Digital-Preferred,1,1,0,1,0,0,3,539,0.438,1176,Low
CUST-00054,Sbusiso,Pillay,75,Male,Widowed,2,No Matric,Gauteng,Retired,1760.48,LSM 1-4,1800.0,4.1,10,372.72,0,4,3,Branch-Preferred,1,0,0,1,0,0,2,567,0.64,155,High
CUST-00055,Kim,Cele,29,Female,Married,3,Diploma,Mpumalanga,Employed,28200.0,LSM 7-8,16500.0,13.0,24,742.52,16,2,4,Digital-Preferred,1,1,1,1,1,1,6,519,0.553,9999,Low
CUST-00056,Chanel,Jacobs,28,Female,Married,3,Degree,Eastern Cape,Employed,14800.0,LSM 5-6,9900.0,4.4,14,688.47,3,4,2,Branch-Preferred,1,1,1,1,0,0,4,597,0.492,147,Low
CUST-00057,Ashleigh,Hendricks,30,Female,Single,0,Diploma,Limpopo,Employed,16800.0,LSM 5-6,12300.0,7.6,37,514.9,8,4,3,Branch-Preferred,1,0,0,1,1,0,3,538,0.692,1286,Low
CUST-00058,Fatima,Johnson,40,Female,Married,4,Degree,Mpumalanga,Self-Employed,48900.0,Affluent,27800.0,3.8,42,560.32,20,4,4,Digital-Preferred,1,1,1,1,1,1,6,543,0.526,660,Low
CUST-00059,Marco,February,26,Male,Married,2,No Matric,Eastern Cape,Unemployed,2021.98,LSM 1-4,2100.0,5.4,11,50.0,7,5,6,Branch-Preferred,0,0,0,0,0,0,0,398,0.0,403,Medium
CUST-00060,Tebogo,Mokoena,37,Male,Single,1,Matric,Gauteng,Self-Employed,6900.0,LSM 1-4,5000.0,4.6,22,216.65,13,2,0,Digital-Preferred,0,1,0,0,0,0,1,600,0.5,9999,High
CUST-00061,Kyle,Zulu,21,Male,Single,1,Matric,KwaZulu-Natal,Unemployed,1244.71,LSM 1-4,1300.0,4.5,4,332.06,8,1,2,Passive,1,0,0,0,0,0,1,532,0.0,679,Medium
CUST-00062,Kyle,Johnson,29,Male,Married,0,Matric,Mpumalanga,Employed,9700.0,LSM 5-6,4400.0,7.8,26,124.77,11,7,2,Digital-Preferred,1,0,0,0,1,0,2,550,0.435,248,Medium
CUST-00063,Thabo,Botha,52,Male,Married,4,Matric,Eastern Cape,Unemployed,3472.69,LSM 1-4,3600.0,9.5,12,537.98,22,6,1,Digital-Preferred,0,0,0,0,0,0,0,602,0.0,89,High
CUST-00064,Mandla,Jacobs,35,Male,Married,1,Degree,North West,Employed,39200.0,LSM 7-8,21500.0,11.6,25,960.1,24,2,1,Digital-Preferred,1,1,1,1,1,1,6,686,0.386,9999,Low
CUST-00065,Vusi,Reddy,36,Male,Married,1,Matric,KwaZulu-Natal,Employed,11800.0,LSM 5-6,7700.0,5.6,14,526.99,15,7,6,Digital-Preferred,1,1,0,0,1,0,3,476,0.639,919,Medium
CUST-00066,Nandi,Cele,36,Female,Married,2,Degree,Western Cape,Retired,20194.41,LSM 7-8,12400.0,3.5,15,825.56,17,1,3,Digital-Preferred,0,1,0,0,0,1,2,556,0.473,287,High
CUST-00067,Aaliya,Motsepe,29,Female,Single,1,Matric,Mpumalanga,Employed,8600.0,LSM 5-6,6000.0,3.1,16,391.13,23,8,2,Digital-Preferred,1,0,0,0,0,0,1,531,0.0,964,Medium
CUST-00068,Shenay,Pillay,29,Female,Married,0,Diploma,Limpopo,Employed,16300.0,LSM 5-6,11500.0,7.0,15,871.88,18,1,2,Digital-Preferred,1,1,1,1,1,0,5,597,0.563,9999,Low
CUST-00069,Kagiso,Sithole,55,Male,Divorced,0,Matric,KwaZulu-Natal,Employed,9800.0,LSM 5-6,5900.0,6.1,9,666.06,3,8,4,Branch-Preferred,0,0,0,0,1,0,1,511,0.534,166,Medium
CUST-00070,Priya,Buthelezi,30,Female,Married,1,Diploma,Gauteng,Self-Employed,16500.0,LSM 5-6,8300.0,6.9,23,329.98,27,2,2,Digital-Preferred,1,0,0,0,0,0,1,541,0.0,9999,Medium
CUST-00071,Samantha,Nxumalo,24,Female,Single,0,Matric,Mpumalanga,Employed,10600.0,LSM 5-6,6900.0,2.4,17,139.04,21,1,0,Digital-Only,1,0,0,1,0,0,2,587,0.529,225,Medium
CUST-00072,Mihlali,Govender,25,Female,Single,1,Postgraduate,Limpopo,Employed,34800.0,LSM 7-8,18500.0,8.8,43,288.27,5,5,1,Branch-Preferred,1,0,1,0,0,1,3,642,0.28,631,Low
CUST-00073,Ashleigh,Nkosi,26,Female,Single,0,Degree,KwaZulu-Natal,Employed,34100.0,LSM 7-8,24300.0,0.6,42,633.97,12,5,2,Digital-Preferred,1,1,0,0,1,0,3,542,0.623,506,Medium
CUST-00074,Heinrich,Ndlovu,34,Male,Married,2,Degree,Western Cape,Student,2663.06,LSM 1-4,2800.0,3.4,12,270.93,13,4,5,Digital-Preferred,1,0,0,1,1,0,3,459,0.685,1580,High
CUST-00075,Dylan,Nkosi,32,Male,Single,1,Degree,Gauteng,Employed,56800.0,Affluent,36600.0,4.8,52,406.78,14,5,5,Digital-Preferred,1,1,1,1,1,1,6,499,0.63,9999,Low
CUST-00076,Ashleigh,Maharaj,36,Female,Married,1,Matric,KwaZulu-Natal,Self-Employed,10800.0,LSM 5-6,6000.0,5.1,6,887.62,2,5,2,Branch-Preferred,1,0,1,0,1,0,3,602,0.54,9999,Low
CUST-00077,Nomvula,Dlamini,49,Female,Married,4,Diploma,Gauteng,Employed,21300.0,LSM 7-8,13200.0,10.2,30,254.05,12,6,1,Digital-Preferred,1,1,0,1,0,1,4,694,0.389,9999,Low
CUST-00078,Devan,Mthethwa,50,Male,Single,0,Matric,Gauteng,Unemployed,0.0,LSM 1-4,0.0,4.1,13,272.93,14,7,0,Digital-Preferred,1,0,0,0,0,0,1,684,0.0,9999,Low
CUST-00079,Tebogo,Zulu,28,Male,Married,1,Degree,Mpumalanga,Employed,43700.0,Affluent,20600.0,6.3,47,488.52,20,2,0,Digital-Preferred,1,1,1,1,1,0,5,719,0.377,9999,Low
CUST-00080,Devan,Joubert,30,Male,Single,0,Matric,KwaZulu-Natal,Self-Employed,20600.0,LSM 7-8,10200.0,8.4,21,571.78,17,2,0,Digital-Preferred,1,0,0,1,1,0,3,644,0.287,9999,Low
CUST-00081,Devan,Nkosi,54,Male,Single,1,Matric,Mpumalanga,Retired,4419.37,LSM 1-4,3600.0,4.3,11,313.93,8,7,2,Branch-Preferred,1,1,0,0,0,0,2,568,0.545,1491,High
CUST-00082,Palesa,Dlamini,28,Female,Single,0,Degree,Western Cape,Employed,47000.0,Affluent,27400.0,7.1,39,577.3,29,3,2,Digital-Preferred,1,0,1,1,1,1,5,630,0.363,82,Low
CUST-00083,Zanele,Sithole,29,Female,Single,2,Matric,Gauteng,Employed,8800.0,LSM 5-6,7200.0,6.3,27,177.58,16,5,2,Digital-Preferred,1,0,0,1,1,0,3,555,0.514,1945,Low
CUST-00084,Vusi,Reddy,51,Male,Married,1,Diploma,KwaZulu-Natal,Unemployed,247.83,LSM 1-4,300.0,1.6,12,123.54,7,6,1,Branch-Preferred,1,0,0,0,0,0,1,606,0.0,9999,Medium
CUST-00085,Sandile,Ndlovu,60,Male,Married,1,Matric,Gauteng,Employed,9200.0,LSM 5-6,5600.0,4.2,4,1347.98,5,5,0,Branch-Preferred,1,0,0,1,0,0,2,654,0.27,140,Low
CUST-00086,Pieter,Botha,57,Male,Single,0,Diploma,Eastern Cape,Employed,23000.0,LSM 7-8,14600.0,7.6,30,587.28,0,5,1,Branch-Preferred,1,1,0,0,0,0,2,677,0.386,9999,Low
CUST-00087,Bongani,Daniels,49,Male,Married,0,Degree,North West,Employed,52100.0,Affluent,33200.0,12.3,41,838.35,17,6,0,Digital-Preferred,1,1,1,1,0,1,5,775,0.348,9999,Low
CUST-00088,Zanele,Naidoo,32,Female,Married,2,Diploma,Limpopo,Unemployed,236.66,LSM 1-4,200.0,8.9,19,69.64,11,1,0,Digital-Preferred,1,0,0,0,0,0,1,635,0.0,637,Medium
CUST-00089,Mihlali,Adams,43,Female,Married,2,Matric,Limpopo,Retired,5492.79,LSM 1-4,4200.0,11.7,18,302.64,17,4,4,Digital-Preferred,1,0,0,0,0,0,1,491,0.0,581,Medium
CUST-00090,Aaliya,Ngubane,34,Female,Single,0,No Matric,Mpumalanga,Unemployed,2215.67,LSM 1-4,1400.0,6.6,21,50.0,8,4,1,Branch-Preferred,1,0,0,0,0,0,1,626,0.0,9999,Medium
CUST-00091,Sandile,Jacobs,51,Male,Divorced,0,No Matric,Limpopo,Unemployed,1421.27,LSM 1-4,800.0,3.9,19,50.0,18,6,2,Digital-Preferred,1,0,0,0,0,0,1,562,0.0,622,Medium
CUST-00092,Lerato,Zulu,56,Female,Single,1,No Matric,Western Cape,Self-Employed,7300.0,LSM 1-4,5400.0,5.3,22,427.22,6,1,2,Passive,1,0,0,1,0,0,2,596,0.6,489,Medium
CUST-00093,Thandi,Pillay,29,Female,Single,0,Diploma,Limpopo,Employed,10600.0,LSM 5-6,6700.0,5.4,26,622.96,14,6,6,Digital-Preferred,1,0,0,0,0,0,1,414,0.0,250,Medium
CUST-00094,Nkosinathi,Mthethwa,31,Male,Single,0,Matric,KwaZulu-Natal,Employed,2200.0,LSM 1-4,1500.0,3.9,18,266.93,18,6,3,Digital-Preferred,0,1,0,0,0,0,1,522,0.478,1190,High
CUST-00095,Kefilwe,Nkosi,21,Female,Single,1,Matric,Gauteng,Employed,8700.0,LSM 5-6,5800.0,3.6,10,50.0,13,3,1,Digital-Preferred,1,0,0,0,0,0,1,555,0.0,2611,High
CUST-00096,Palesa,Jacobs,23,Female,Single,0,Matric,Eastern Cape,Employed,10100.0,LSM 5-6,7300.0,4.8,8,760.9,5,7,0,Branch-Preferred,1,1,0,0,0,0,2,595,0.457,9999,Medium
CUST-00097,Bongiwe,Reddy,24,Female,Single,1,Degree,Limpopo,Employed,43700.0,Affluent,32600.0,0.5,32,1041.69,30,3,1,Digital-Preferred,1,1,0,0,0,0,2,594,0.444,337,Medium
CUST-00098,Nkosinathi,Nxumalo,41,Male,Married,5,No Matric,Gauteng,Employed,5100.0,LSM 1-4,5400.0,8.6,19,64.57,20,7,1,Digital-Preferred,1,1,0,1,0,0,3,660,0.46,2316,Low
CUST-00099,Rayan,Nkosi,34,Male,Married,2,Matric,Free State,Employed,12100.0,LSM 5-6,9300.0,0.5,3,2870.98,10,6,1,Branch-Preferred,1,1,0,1,1,0,4,597,0.483,1736,Low
CUST-00100,Bongiwe,Govender,65,Female,Widowed,2,Matric,Gauteng,Self-Employed,11600.0,LSM 5-6,8700.0,5.1,18,399.59,9,5,2,Branch-Preferred,1,1,0,1,0,0,3,604,0.495,2533,Low
CUST-00101,Arjun,du Plessis,29,Male,Married,2,No Matric,Limpopo,Employed,5100.0,LSM 1-4,3800.0,8.8,11,414.52,11,3,1,Digital-Preferred,1,1,0,0,0,0,2,584,0.491,165,Medium
CUST-00102,André,Nkosi,39,Male,Married,1,Postgraduate,Free State,Employed,29600.0,LSM 7-8,19500.0,8.8,40,611.01,16,2,1,Digital-Preferred,1,1,1,1,1,0,5,682,0.27,9999,Low
CUST-00103,Kavitha,February,29,Female,Single,0,Matric,KwaZulu-Natal,Employed,8700.0,LSM 5-6,4000.0,4.5,15,193.2,13,3,0,Digital-Preferred,1,0,0,0,1,0,2,644,0.44,9999,Medium
CUST-00104,Johan,Maharaj,57,Male,Married,0,Diploma,North West,Employed,21300.0,LSM 7-8,12900.0,12.3,21,525.46,16,2,3,Digital-Preferred,1,1,0,0,0,1,3,612,0.456,1501,Low
CUST-00105,Dylan,van der Berg,26,Male,Married,3,Diploma,Mpumalanga,Employed,19300.0,LSM 5-6,10700.0,3.7,33,155.51,15,2,1,Digital-Preferred,1,1,0,0,1,0,3,577,0.496,797,Low
CUST-00106,Palesa,Cele,30,Female,Married,0,Degree,Limpopo,Self-Employed,19900.0,LSM 5-6,9100.0,0.5,23,497.07,30,1,1,Digital-Only,1,1,0,0,1,0,3,594,0.453,204,Low
CUST-00107,Samantha,Buthelezi,26,Female,Single,0,Diploma,Free State,Unemployed,1416.73,LSM 1-4,700.0,6.4,9,165.76,27,1,2,Digital-Only,0,0,0,1,0,0,1,556,0.518,81,High
CUST-00108,Nozipho,van der Berg,39,Female,Married,4,Degree,Eastern Cape,Self-Employed,45500.0,Affluent,25500.0,2.7,36,889.74,21,5,1,Digital-Preferred,1,1,1,0,1,0,4,640,0.41,9999,Low
CUST-00109,Thandi,Nkosi,37,Female,Married,0,Diploma,Western Cape,Employed,11900.0,LSM 5-6,5000.0,3.3,20,275.95,16,4,1,Digital-Preferred,1,0,0,1,1,0,3,584,0.35,278,Low
CUST-00110,Devan,Motsepe,21,Male,Single,1,Diploma,Eastern Cape,Unemployed,2317.0,LSM 1-4,2000.0,4.4,9,50.0,9,3,0,Passive,1,0,0,0,0,0,1,611,0.0,1866,Medium
CUST-00111,Marco,Nxumalo,53,Male,Divorced,0,Diploma,KwaZulu-Natal,Employed,19400.0,LSM 5-6,12200.0,4.9,20,540.22,15,4,1,Digital-Preferred,1,1,1,1,0,0,4,658,0.519,9999,Low
CUST-00112,Lindiwe,Ndlovu,54,Female,Single,0,Diploma,KwaZulu-Natal,Employed,20600.0,LSM 7-8,11100.0,8.1,35,488.53,21,4,4,Digital-Preferred,1,1,1,1,1,0,5,584,0.503,1154,Low
CUST-00113,Johan,Zulu,28,Male,Married,2,Diploma,Gauteng,Employed,16400.0,LSM 5-6,11000.0,2.5,21,176.71,20,3,1,Digital-Preferred,1,0,1,1,0,0,3,593,0.41,9999,Low
CUST-00114,Ruan,Mokoena,23,Male,Married,1,Matric,KwaZulu-Natal,Employed,8900.0,LSM 5-6,4900.0,6.1,12,391.37,10,2,0,Passive,1,1,0,0,0,0,2,661,0.301,9999,Low
CUST-00115,Kagiso,Sithole,32,Male,Single,0,Matric,Limpopo,Employed,7100.0,LSM 1-4,3900.0,0.5,7,614.17,15,0,3,Digital-Preferred,1,1,0,0,1,0,3,516,0.688,89,Low
CUST-00116,Anika,Mokoena,28,Female,Single,2,Matric,North West,Employed,7300.0,LSM 1-4,5900.0,9.4,16,769.49,19,1,5,Digital-Preferred,1,0,0,0,1,0,2,512,0.598,892,High
CUST-00117,Rayan,Reddy,50,Male,Married,0,No Matric,Free State,Unemployed,1241.36,LSM 1-4,700.0,3.7,6,50.0,11,4,4,Digital-Preferred,0,0,0,0,0,0,0,502,0.0,2255,Medium
CUST-00118,Chanel,Pretorius,32,Female,Single,0,Diploma,Gauteng,Employed,15500.0,LSM 5-6,10000.0,10.6,17,563.9,18,3,3,Digital-Preferred,1,1,1,0,1,0,4,551,0.466,765,Low
CUST-00119,Ruan,Mkhize,41,Male,Single,0,No Matric,Western Cape,Unemployed,1578.12,LSM 1-4,900.0,2.6,4,562.52,16,3,2,Digital-Preferred,1,0,0,1,0,0,2,584,0.419,1325,High
CUST-00120,Megan,February,30,Female,Single,1,Diploma,Western Cape,Unemployed,6.55,LSM 1-4,0.0,10.8,12,50.0,15,5,0,Digital-Preferred,1,0,0,0,0,0,1,640,0.0,9999,Medium
CUST-00121,Kagiso,Maharaj,25,Male,Single,0,Degree,Gauteng,Employed,27800.0,LSM 7-8,15200.0,1.6,18,1059.39,29,2,2,Digital-Preferred,1,1,0,1,1,0,4,557,0.52,1402,Low
